sentenceA,sentenceB,if_sentence_a_is_true_then,to_what_extent_are_the_two_sentences_expressing_a_related_meaning,to_what_extent__are_the_two_sentences_expressing_a_related_meaning:variance
A girl is riding a horse,A girl is riding a brown horse,Sentence B cannot be said to be true or false,4.4,0.49
A man is riding a skateboard in a park,A man is riding a skateboard,Sentence B is true,4.77,0.421
A woman is eating and drinking with other women,Some women are eating and drinking ,Sentence B is true,4.92,0.266
A person is playing a drum,A red car is on the shirt of a man,Sentence B cannot be said to be true or false,1,0
A cat is resting on a chair,An onion is being cut by a man,Sentence B cannot be said to be true or false,1,0
A woman is speaking on a stage,A drunk man is watering a dog,Sentence B cannot be said to be true or false,1,0
The sheep is grazing on the grass,An animal is grazing in a field,Sentence B is true,4.25,0.829
Some kids are eating the food,The food on the trays is being eaten by the kids,Sentence B cannot be said to be true or false,4.08,0.759
A dog is running on the beach,A surfer is riding the wave,Sentence B cannot be said to be true or false,1.11,0.314
A cat is playing with a stuffed bear,A cat is playing with a toy,Sentence B is true,5,0
Two dogs are fighting in a pit,Some dogs are fighting in a pit,Sentence B is true,4.7,0.458
A girl is diving into a swimming pool,A girl is diving into the water,Sentence B is true,4.69,0.462
A person is riding a bike,A man is slicing potatoes,Sentence B cannot be said to be true or false,1,0
A small elephant is walking through water,An elephant is wading through a river,Sentence B is true,4.6,0.49
The woman is eating some pizza,A woman is eating,Sentence B is true,4.54,0.499
A boy is dancing and singing in the rain,A man is playing an instrument,Sentence B cannot be said to be true or false,1.36,0.61
Two baby tigers are playing,There are no tigers playing,Sentence B is false,3.92,1.115
A giraffe is eating a small tree,A kid is selling a book,Sentence B cannot be said to be true or false,1,0
A man is slicing an orange,An orange is being sliced by a man,Sentence B is true,5,0
Two men are riding a black horse on the shore,Two men are riding a horse on the shore,Sentence B is true,4.88,0.331
The woman is peeling an apple,A woman is peeling the apple,Sentence B is true,4.93,0.249
The person is riding the horse,A man is riding a horse,Sentence B cannot be said to be true or false,4.5,0.5
A man is playing the instrument,A man is playing a guitar,Sentence B cannot be said to be true or false,4.31,0.722
A man is drinking some milk,Some milk is being drunk by a man,Sentence B is true,5,0
The woman is drawing,The woman is not drawing,Sentence B is false,4.43,1.05
A dog is walking around,A kid is scared,Sentence B cannot be said to be true or false,1,0
The boy is burrowing a hole,A hole is being burrowed by the boy,Sentence B is true,5,0
A small plane is landing,An aircraft is landing,Sentence B is true,4.82,0.386
A woman is playing a guitar,A woman is playing an electric guitar,Sentence B cannot be said to be true or false,4.54,0.634
Someone is stirring a pot of soup with a ladle,Someone is stirring soup in a pot,Sentence B is true,4.73,0.445
The man is trotting on the horse,A man is riding a horse,Sentence B is true,4.58,0.64
A man is diving into the sea,A man is jumping into the sea,Sentence B is true,4.36,0.771
The water is being drunk by a dog,A little dog is drinking fresh water,Sentence B cannot be said to be true or false,4.4,0.49
A boy is doing exercises,The boy is doing floor exercises,Sentence B cannot be said to be true or false,4.27,0.445
A girl is dancing,There is no girl dancing,Sentence B is false,4.29,1.161
A lot of kids are in an ice skating park,Many kids are skating in an ice park,Sentence B cannot be said to be true or false,4.25,1.01
Someone is typing on a cell phone,Somebody is typing on the cell phone,Sentence B is true,4.87,0.34
A man is running uphill,A man is quickly running uphill,Sentence B cannot be said to be true or false,4.42,0.493
The man is kicking a monkey,The man is not kicking a monkey,Sentence B is false,4,1.519
A man is slicing a tomato,A man is cutting a tomato,Sentence B is true,4.89,0.314
An animal is jumping into a box,An animal is jumping into a container,Sentence B is true,4.83,0.373
A woman is slicing an onion,An onion is being cut by a woman,Sentence B is true,5,0
A person is riding a horse,A person is riding an old horse,Sentence B cannot be said to be true or false,4.69,0.462
A kid is eating a cupcake,A woman is working on the computer,Sentence B cannot be said to be true or false,1,0
A monkey is teasing a lion,A lion's tail is being pulled by a monkey,Sentence B cannot be said to be true or false,4.2,0.98
A cook is cracking eggs,A cook is breaking eggs,Sentence B is true,5,0
A woman is crying,A sad woman is crying,Sentence B cannot be said to be true or false,4.89,0.314
A kid is making a sketch,A kid is drawing,Sentence B is true,4.75,0.433
The man is riding the horse,The girl is watering the plants,Sentence B cannot be said to be true or false,1.07,0.249
A woman is frying  chicken,A chicken is being fried by a woman,Sentence B is true,4.9,0.3
A man is playing the violin,A dog is running with the ball,Sentence B cannot be said to be true or false,1,0
A dog is barking at a man,A group of people is walking,Sentence B cannot be said to be true or false,1,0
A girl is crying,Two women are talking,Sentence B cannot be said to be true or false,1.14,0.35
A man is cleaning a bowl,A cat is playing a piano,Sentence B cannot be said to be true or false,1,0
A boy is riding a bicycle,A dog is jumping a fence,Sentence B cannot be said to be true or false,1,0
There is no cold cyclist celebrating,A bicyclist is holding a bike over his head in a group of people,Sentence B cannot be said to be true or false,3,0.894
The woman is wearing a colorful shirt and a lot of jewelry,A girl with Indian clothing and henna on her hand is going through paperwork,Sentence B cannot be said to be true or false,2.2,0.748
A dog and a black man are running through brown leaves,A brown and black dog is running through the leaves,Sentence B cannot be said to be true or false,3.8,0.748
A bee is taking off from a yellow flower,A small bee is landing on a bunch of yellow flowers,Sentence B cannot be said to be true or false,2.2,1.166
A toddler is making a splash outside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,Sentence B is false,3.6,1.497
Some cheerleaders are taking a break,A female cheerleader is sitting on the knee of a male cheerleader,Sentence B cannot be said to be true or false,3.6,0.49
Two pandas are not lying together,Two baby pandas are playing,Sentence B cannot be said to be true or false,3,1.414
Two kids are pushing past a crocodile in an inflatable pool,Two kids are pushing an inflatable crocodile in a pool,Sentence B cannot be said to be true or false,3.2,1.47
There is no child hanging on a large branch,Two children are hanging on a large branch,Sentence B is false,4,1.265
"The male, who is dark skinned, is standing on one hand in front of a yellow building",A black man is break dancing on the pavement,Sentence B cannot be said to be true or false,2,1.265
A fish is being cut by a man,A man is slicing a fish,Sentence B is true,4,1.549
Four people are standing on a low cement ledge,Four people are sitting on a low cement ledge,Sentence B cannot be said to be true or false,3.4,1.2
A cyclist is being held over the heads of a group of people with the bike,A bicyclist is holding a bike over his head in a group of people,Sentence B cannot be said to be true or false,3.4,1.02
"A person who rides bikes, in a black and red uniform, is standing on a dirt bike",A bike rider in a black and red uniform is standing on a dirt bike,Sentence B is true,4.6,0.49
A woman is penciling on eyeshadow,A woman is putting cosmetics on her eyelid,Sentence B is true,4.6,0.49
The bike is being ridden by a girl in a strange outfit,A girl in a strange outfit is riding the bike,Sentence B is true,5,0
One person is cutting an onion,A person is cutting an onion,Sentence B is true,5,0
A man is cleaning the edge of a bowl,A chef is cleaning a bowl of soup,Sentence B cannot be said to be true or false,4,0.632
A black bird is taking flight from a dead tree,The black bird is sitting in a leafless tree,Sentence B is false,3.6,1.02
A skateboarder is doing tricks on a half pipe,A man is skateboarding on a half pipe,Sentence B is true,4.2,0.748
A group of people are looking at sound equipment,A group of people are standing around a sound mixing table,Sentence B cannot be said to be true or false,4,0.632
